iter	Passed	Remaining
884	15999	2079
885	16019	2061
886	16038	2043
887	16057	2025
888	16075	2007
889	16095	1989
890	16118	1971
891	16140	1954
892	16163	1936
893	16186	1919
894	16208	1901
895	16233	1884
896	16254	1866
897	16287	1849
898	16305	1831
899	16321	1813
900	16339	1795
901	16356	1777
902	16395	1761
903	16424	1744
904	16442	1726
905	16460	1707
906	16476	1689
907	16493	1671
908	16510	1652
909	16528	1634
910	16546	1616
911	16564	1598
912	16582	1580
913	16602	1562
914	16623	1544
915	16644	1526
916	16664	1508
917	16686	1490
918	16708	1472
919	16727	1454
920	16749	1436
921	16771	1418
922	16796	1401
923	16818	1383
924	16838	1365
925	16858	1347
926	16878	1329
927	16898	1311
928	16918	1292
929	16936	1274
930	16953	1256
931	16969	1238
932	16986	1219
933	17003	1201
934	17024	1183
935	17044	1165
936	17063	1147
937	17084	1129
938	17103	1111
939	17120	1092
940	17137	1074
941	17154	1056
942	17171	1037
943	17188	1019
944	17209	1001
945	17225	983
946	17247	965
947	17267	947
948	17288	929
949	17309	911
950	17327	892
951	17347	874
952	17370	856
953	17393	838
954	17414	820
955	17436	802
956	17457	784
957	17479	766
958	17498	748
959	17517	729
960	17537	711
961	17555	693
962	17572	675
963	17591	656
964	17609	638
965	17627	620
966	17646	602
967	17664	583
968	17682	565
969	17701	547
970	17719	529
971	17736	510
972	17753	492
973	17770	474
974	17787	456
975	17805	437
976	17825	419
977	17845	401
978	17868	383
979	17889	365
