iter	MAE	RMSE
266	0.159362474	0.2181178268
267	0.1588403926	0.2172381727
268	0.1586414498	0.2167952737
269	0.1581307669	0.2159311025
270	0.1578426025	0.2153578768
271	0.1576481237	0.2149344341
272	0.1568110871	0.2138643942
273	0.1566200904	0.2134524542
274	0.1564199839	0.2130263584
275	0.1562588293	0.212649949
276	0.1558169696	0.2119068613
277	0.1554335579	0.2111920791
278	0.1552422215	0.2108209491
279	0.1549134356	0.2101342947
280	0.1546147364	0.2094802602
281	0.154407448	0.2090717728
282	0.1541596038	0.2086541399
283	0.1533485094	0.2076483586
284	0.1531087608	0.2072438076
285	0.1525860303	0.2064154913
286	0.1523469508	0.2060504554
287	0.1515614981	0.2049185909
288	0.1507617671	0.2039932376
289	0.1504782195	0.2033781819
290	0.1501981525	0.2029768289
291	0.1494627924	0.2018913018
292	0.1488089575	0.2008450812
293	0.1485380123	0.200248835
294	0.1477569754	0.1989945824
295	0.1474948035	0.1984249445
296	0.1467230081	0.1975493484
297	0.1459256392	0.1966465383
298	0.1452587752	0.1956310043
299	0.1444934589	0.1945195808
300	0.1442208885	0.1941839234
301	0.1436465147	0.1932345384
302	0.1430804018	0.1923062481
303	0.1428224433	0.1919844411
304	0.1422235	0.1912547996
305	0.1416528003	0.1905481572
306	0.1410969475	0.1898637058
307	0.140613682	0.188943636
308	0.1399103004	0.1878275748
309	0.1395170589	0.187355622
310	0.1389137017	0.1864689059
311	0.1383826193	0.1858293551
312	0.1377085206	0.1848420175
313	0.1374916132	0.184555087
314	0.1370063317	0.1836735019
315	0.136797979	0.1833973232
316	0.1362085257	0.1825541428
317	0.135696755	0.1817513683
318	0.1351260179	0.1809150385
319	0.1346586888	0.180091192
320	0.1342595405	0.1793374538
321	0.1338072842	0.1787566904
322	0.1333599362	0.1780068232
323	0.1328996634	0.1772454854
324	0.132560809	0.1766235054
325	0.1320438199	0.175645526
326	0.1316365774	0.1751029522
327	0.1312438507	0.1745771915
328	0.1310751556	0.1743394522
329	0.1308845146	0.174080693
330	0.1304994654	0.1733227478
331	0.1303123801	0.1730709321
332	0.1298140098	0.1721462718
333	0.1295062597	0.1714967994
334	0.1291274758	0.1710011583
335	0.1287560907	0.1705209441
336	0.1285753072	0.1702813852
337	0.1280934307	0.169393977
338	0.1275911152	0.1687078822
339	0.127232119	0.16825205
340	0.1267619119	0.1673918414
341	0.1264827946	0.1667933669
342	0.1261938986	0.1662004048
343	0.1259920373	0.1658808446
344	0.125643256	0.165447804
345	0.1251900108	0.1646280289
346	0.1247435105	0.1638279128
347	0.1245743329	0.163608146
348	0.1243107373	0.1630573407
349	0.12405676	0.162510692
350	0.1236211495	0.1617378288
351	0.1232043371	0.1609876311
352	0.123044168	0.1607799872
353	0.1228858388	0.1605764732
354	0.1225404394	0.1601777569
355	0.1223844604	0.1599793562
356	0.1219245387	0.1594004125
357	0.121777898	0.1590005658
358	0.1215627387	0.158719237
359	0.1212350919	0.1583395221
360	0.1209973698	0.1580528951
361	0.1208026235	0.1577834947
362	0.1206061174	0.1573433099
363	0.120415319	0.1570800348
364	0.1200523395	0.1564583979
365	0.1196969203	0.1558495555
366	0.1195482571	0.1556677509
367	0.119401313	0.1554894808
368	0.1191136999	0.1550544748
369	0.1188030447	0.1545143409
370	0.1185654818	0.1541222684
371	0.1182629252	0.1535968508
372	0.1181212325	0.1534269619
373	0.1179757874	0.1531774577
374	0.1178384981	0.1530120231
375	0.1176058897	0.1526318983
376	0.1174652804	0.1524398158
377	0.1173230123	0.1521987968
378	0.1170946372	0.1518303653
379	0.1169583897	0.151646788
380	0.1168238104	0.1514849496
381	0.1167068618	0.1511434729
382	0.1165411022	0.150933057
383	0.1163684431	0.1507085328
384	0.1162341021	0.1505304822
385	0.1161220017	0.1503283051
386	0.1159527801	0.1501116432
387	0.1157901767	0.1499059361
388	0.1156293116	0.1497043718
389	0.1155027375	0.149488144
390	0.1153781246	0.1492763573
391	0.1152192633	0.1490786199
392	0.1151124295	0.1488895752
393	0.1149553831	0.1486957657
394	0.1148501642	0.1485103923
395	0.1146387796	0.1481875535
396	0.1144840376	0.147998508
397	0.1142759702	0.1476837735
398	0.1139981159	0.1472684971
399	0.113724458	0.1468633392
400	0.1136071138	0.1466712712
401	0.1135066108	0.1464999737
402	0.1132378497	0.1461059363
403	0.1130098192	0.1458206306
404	0.1129167096	0.1456746573
405	0.1126919186	0.1453974732
406	0.1122604393	0.1448831916
407	0.1121686475	0.1447436466
408	0.1120503099	0.1445926564
